Delta Time, Position, Velocity, Heading, 
20, 0.000058, 0.005780, 0.785416, 
20, 0.000250, 0.009601, 0.785370, 
20, 0.000887, 0.031876, 0.785266, 
20, 0.002021, 0.056671, 0.785080, 
20, 0.003792, 0.088557, 0.784791, 
20, 0.006343, 0.127539, 0.784373, 
20, 0.009815, 0.173627, 0.783804, 
20, 0.014352, 0.226834, 0.783060, 
20, 0.020095, 0.287179, 0.782116, 
20, 0.027189, 0.354685, 0.780949, 
20, 0.035777, 0.429379, 0.779532, 
20, 0.046003, 0.511297, 0.777841, 
20, 0.058012, 0.600482, 0.775849, 
20, 0.071952, 0.696984, 0.773529, 
20, 0.087969, 0.800863, 0.770852, 
20, 0.106213, 0.912187, 0.767789, 
20, 0.126834, 1.031037, 0.764308, 
20, 0.149984, 1.157504, 0.760378, 
20, 0.175818, 1.291692, 0.755963, 
20, 0.204492, 1.433718, 0.751027, 
20, 0.236166, 1.583715, 0.745531, 
20, 0.271003, 1.741831, 0.739433, 
20, 0.309168, 1.908229, 0.732689, 
20, 0.350829, 2.083091, 0.725251, 
20, 0.396162, 2.266617, 0.717069, 
20, 0.445342, 2.459025, 0.708086, 
20, 0.498553, 2.660550, 0.698244, 
20, 0.555909, 2.867775, 0.687492, 
20, 0.617453, 3.077227, 0.675791, 
20, 0.683234, 3.289052, 0.663098, 
20, 0.753302, 3.503385, 0.649370, 
20, 0.827709, 3.720338, 0.634559, 
20, 0.906509, 3.939991, 0.618618, 
20, 0.989756, 4.162387, 0.601497, 
20, 1.077506, 4.387510, 0.583149, 
20, 1.169812, 4.615278, 0.563526, 
20, 1.266722, 4.845520, 0.542583, 
20, 1.368282, 5.077956, 0.520283, 
20, 1.474525, 5.312179, 0.496593, 
20, 1.585478, 5.547629, 0.471492, 
20, 1.701149, 5.783576, 0.444970, 
20, 1.821531, 6.019107, 0.417035, 
20, 1.946594, 6.253114, 0.387713, 
20, 2.076280, 6.484299, 0.357056, 
20, 2.210504, 6.711200, 0.325139, 
20, 2.349148, 6.932222, 0.292067, 
20, 2.492062, 7.145702, 0.257974, 
20, 2.639062, 7.349985, 0.223023, 
20, 2.789932, 7.543522, 0.187405, 
20, 2.944432, 7.724965, 0.151336, 
20, 3.102219, 7.889382, 0.115067, 
20, 3.262867, 8.032370, 0.078876, 
20, 3.425947, 8.153997, 0.043041, 
20, 3.591044, 8.254861, 0.007827, 
20, 3.757764, 8.336028, 6.256669, 
20, 3.925743, 8.398946, 6.223416, 
20, 4.094650, 8.445325, 6.191446, 
20, 4.264190, 8.477010, 6.160917, 
20, 4.434107, 8.495866, 6.131954, 
20, 4.604181, 8.503673, 6.104651, 
20, 4.774222, 8.502060, 6.079074, 
20, 4.944071, 8.492449, 6.055260, 
20, 5.113592, 8.476032, 6.033229, 
20, 5.282667, 8.453772, 6.012981, 
20, 5.451195, 8.426404, 5.994505, 
20, 5.619084, 8.394463, 5.977779, 
20, 5.786250, 8.358302, 5.962775, 
20, 5.952613, 8.318120, 5.949462, 
20, 6.118093, 8.273991, 5.937807, 
20, 6.282610, 8.225882, 5.927779, 
20, 6.446084, 8.173680, 5.919346, 
20, 6.608428, 8.117203, 5.912483, 
20, 6.769552, 8.056221, 5.907167, 
20, 6.929362, 7.990468, 5.903379, 
20, 7.087755, 7.919647, 5.901107, 
20, 7.244623, 7.843444, 5.900344, 
20, 7.399798, 7.758706, 5.901089, 
20, 7.553102, 7.665229, 5.903342, 
20, 7.704414, 7.565575, 5.907111, 
20, 7.853602, 7.459428, 5.912408, 
20, 8.000532, 7.346494, 5.919252, 
20, 8.145062, 7.226503, 5.927664, 
20, 8.287047, 7.099226, 5.937673, 
20, 8.426336, 6.964481, 5.949307, 
20, 8.562779, 6.822152, 5.962599, 
20, 8.696223, 6.672207, 5.977582, 
20, 8.826518, 6.514716, 5.994286, 
20, 8.953515, 6.349879, 6.012740, 
20, 9.077076, 6.178046, 6.032965, 
20, 9.197071, 5.999750, 6.054973, 
20, 9.313386, 5.815724, 6.078764, 
