Time,Pos,Velo,heading,
20,0.000058,0.00578,0.785416, 
20,0.000146,0.004389,0.78537, 
20,0.000549,0.020147,0.785266, 
20,0.001265,0.035814,0.78508, 
20,0.002384,0.055951,0.784791, 
20,0.003995,0.080553,0.784373, 
20,0.006187,0.109609,0.783804, 
20,0.009049,0.143106,0.78306, 
20,0.01267,0.181026,0.782116, 
20,0.017137,0.223347,0.780949, 
20,0.022537,0.270039,0.779532, 
20,0.028959,0.321068,0.777841, 
20,0.036487,0.376391,0.775849, 
20,0.045206,0.435958,0.773529, 
20,0.0552,0.499708,0.770852, 
20,0.066551,0.567573,0.767789, 
20,0.079341,0.639473,0.764308, 
20,0.093647,0.715316,0.760378, 
20,0.109547,0.795,0.755963, 
20,0.127115,0.878405,0.751027, 
20,0.146423,0.9654,0.745531, 
20,0.16754,1.055837,0.739433, 
20,0.190531,1.149552,0.732689, 
20,0.215458,1.246363,0.725251, 
20,0.24238,1.346069,0.717069, 
20,0.271349,1.448455,0.708086, 
20,0.302414,1.553282,0.698244, 
20,0.335578,1.658189,0.687492, 
20,0.370796,1.760869,0.675791, 
20,0.408019,1.861173,0.663098, 
20,0.447198,1.958969,0.64937, 
20,0.488281,2.054143,0.634559, 
20,0.531214,2.146615,0.618618, 
20,0.57594,2.236343,0.601497, 
20,0.622407,2.323341,0.583149, 
20,0.670561,2.407691,0.563526, 
20,0.720352,2.489565,0.542583, 
20,0.771737,2.569241,0.520283, 
20,0.82468,2.647128,0.496593, 
20,0.879155,2.723784,0.471492, 
20,0.935154,2.799939,0.44497, 
20,0.992684,2.876507,0.417035, 
20,1.051776,2.954597,0.387713, 
20,1.112486,3.035505,0.357056, 
20,1.1749,3.120697,0.325139, 
20,1.239136,3.211767,0.292067, 
20,1.305343,3.31038,0.257974, 
20,1.373707,3.418192,0.223023, 
20,1.444442,3.536755,0.187405, 
20,1.517791,3.667417,0.151336, 
20,1.593977,3.809333,0.115067, 
20,1.6732,3.961128,0.078876, 
20,1.755654,4.122733,0.043041, 
20,1.841525,4.293553,0.007827, 
