Delta Time, Position, Velocity, Heading, 
50, 0.000309, 0.012346, 0.785373, 
50, 0.001706, 0.027941, 0.785156, 
50, 0.004849, 0.062870, 0.784668, 
50, 0.010438, 0.111782, 0.783801, 
50, 0.019173, 0.174694, 0.782442, 
50, 0.031755, 0.251632, 0.780482, 
50, 0.048886, 0.342636, 0.777804, 
50, 0.071275, 0.447763, 0.774290, 
50, 0.099629, 0.567087, 0.769818, 
50, 0.134664, 0.700703, 0.764257, 
50, 0.177100, 0.848728, 0.757469, 
50, 0.227666, 1.011306, 0.749308, 
50, 0.286744, 1.181565, 0.739672, 
50, 0.354374, 1.352596, 0.728511, 
50, 0.430598, 1.524494, 0.715766, 
50, 0.515465, 1.697339, 0.701375, 
50, 0.609025, 1.871193, 0.685269, 
50, 0.711330, 2.046093, 0.667380, 
50, 0.822432, 2.222040, 0.647636, 
50, 0.942381, 2.398987, 0.625972, 
50, 1.071222, 2.576827, 0.602328, 
50, 1.208991, 2.755375, 0.576656, 
50, 1.355709, 2.934355, 0.548927, 
50, 1.511378, 3.113381, 0.519139, 
50, 1.675975, 3.291948, 0.487320, 
50, 1.849447, 3.469427, 0.453545, 
50, 2.031700, 3.645073, 0.417935, 
50, 2.222241, 3.810817, 0.380738, 
50, 2.420171, 3.958593, 0.342330, 
50, 2.624556, 4.087700, 0.303133, 
50, 2.834439, 4.197663, 0.263599, 
50, 3.048854, 4.288299, 0.224196, 
50, 3.266841, 4.359746, 0.185380, 
50, 3.487464, 4.412452, 0.147578, 
50, 3.709820, 4.447128, 0.111169, 
50, 3.933054, 4.464672, 0.076472, 
50, 4.156358, 4.466082, 0.043740, 
50, 4.378977, 4.452371, 0.013159, 
50, 4.600202, 4.424504, 6.268034, 
50, 4.819706, 4.390092, 6.242020, 
50, 5.037525, 4.356366, 6.218255, 
50, 5.253702, 4.323545, 6.196680, 
50, 5.468290, 4.291763, 6.177225, 
50, 5.681344, 4.261080, 6.159816, 
50, 5.892919, 4.231501, 6.144380, 
50, 6.103069, 4.202988, 6.130845, 
50, 6.311842, 4.175473, 6.119145, 
50, 6.519285, 4.148862, 6.109220, 
50, 6.725438, 4.123047, 6.101016, 
50, 6.930333, 4.097907, 6.094488, 
50, 7.133999, 4.073317, 6.089600, 
50, 7.336456, 4.049142, 6.086324, 
50, 7.537718, 4.025249, 6.084641, 
50, 7.737794, 4.001502, 6.084541, 
50, 7.936682, 3.977762, 6.086023, 
50, 8.134376, 3.953893, 6.089097, 
50, 8.330864, 3.929757, 6.093779, 
50, 8.526125, 3.905221, 6.100098, 
50, 8.720133, 3.880150, 6.108087, 
50, 8.912854, 3.854417, 6.117791, 
50, 9.104249, 3.827901, 6.129263, 
50, 9.294273, 3.800490, 6.142562, 
50, 9.482878, 3.772091, 6.157754, 
50, 9.670009, 3.742628, 6.174909, 
50, 9.855612, 3.712061, 6.194101, 
50, 10.039631, 3.680387, 6.215404, 
50, 10.222014, 3.647660, 6.238888, 
50, 10.402714, 3.614001, 6.264614, 
50, 10.581695, 3.579619, 0.009446, 
50, 10.758699, 3.540065, 0.039740, 
50, 10.933227, 3.490559, 0.072202, 
50, 11.104795, 3.431358, 0.106655, 
50, 11.272968, 3.363475, 0.142856, 
50, 11.437364, 3.287917, 0.180493, 
50, 11.597644, 3.205600, 0.219194, 
50, 11.753507, 3.117266, 0.258538, 
50, 11.904677, 3.023400, 0.298071, 
50, 12.050886, 2.924179, 0.337327, 
50, 12.191859, 2.819460, 0.375849, 
50, 12.327299, 2.708800, 0.413211, 
50, 12.456875, 2.591519, 0.449032, 
50, 12.580438, 2.471261, 0.483047, 
50, 12.698053, 2.352293, 0.515118, 
50, 12.809778, 2.234499, 0.545166, 
50, 12.915640, 2.117233, 0.573156, 
50, 13.015638, 1.999976, 0.599088, 
50, 13.109755, 1.882325, 0.622987, 
50, 13.197954, 1.763993, 0.644899, 
50, 13.280193, 1.644783, 0.664883, 
50, 13.356422, 1.524579, 0.683004, 
50, 13.426589, 1.403330, 0.699332, 
50, 13.490640, 1.281030, 0.713937, 
50, 13.548526, 1.157712, 0.726887, 
50, 13.600198, 1.033437, 0.738246, 
50, 13.645612, 0.908284, 0.748072, 
50, 13.684729, 0.782344, 0.756417, 
50, 13.717748, 0.660382, 0.763377, 
50, 13.745142, 0.547870, 0.769091, 
50, 13.767423, 0.445622, 0.773700, 
50, 13.785111, 0.353759, 0.777334, 
50, 13.798730, 0.272378, 0.780117, 
50, 13.808808, 0.201557, 0.782167, 
50, 13.815875, 0.141355, 0.783601, 
50, 13.820466, 0.091813, 0.784531, 
50, 13.823114, 0.052960, 0.785066, 
50, 13.824355, 0.024814, 0.785317, 
50, 13.824724, 0.007384, 0.785391, 
50, 13.824758, 0.000674, 0.785398, 
50, 13.824758, 0.000000, 0.785398, 
