Delta Time, Position, Velocity, Heading, 
20, 0.000057, 0.005652, 0.000000, 
20, 0.000283, 0.011304, 0.000000, 
20, 0.000791, 0.025434, 0.000000, 
20, 0.001696, 0.045217, 0.000000, 
20, 0.003109, 0.070651, 0.000000, 
20, 0.005143, 0.101738, 0.000000, 
20, 0.007913, 0.138477, 0.000000, 
20, 0.011530, 0.180867, 0.000000, 
20, 0.016108, 0.228910, 0.000000, 
20, 0.021761, 0.282605, 0.000000, 
20, 0.028600, 0.341952, 0.000000, 
20, 0.036739, 0.406951, 0.000000, 
20, 0.046291, 0.477603, 0.000000, 
20, 0.057369, 0.553906, 0.000000, 
20, 0.070030, 0.633036, 0.000000, 
20, 0.084273, 0.712165, 0.000000, 
20, 0.100099, 0.791294, 0.000000, 
20, 0.117507, 0.870424, 0.000000, 
20, 0.136498, 0.949553, 0.000000, 
20, 0.157072, 1.028683, 0.000000, 
20, 0.179228, 1.107812, 0.000000, 
20, 0.202967, 1.186942, 0.000000, 
20, 0.228288, 1.266071, 0.000000, 
20, 0.255192, 1.345200, 0.000000, 
20, 0.283679, 1.424330, 0.000000, 
20, 0.313748, 1.503459, 0.000000, 
20, 0.345400, 1.582589, 0.000000, 
20, 0.378634, 1.661718, 0.000000, 
20, 0.413451, 1.740848, 0.000000, 
20, 0.449851, 1.819977, 0.000000, 
20, 0.487833, 1.899107, 0.000000, 
20, 0.527398, 1.978236, 0.000000, 
20, 0.568545, 2.057365, 0.000000, 
20, 0.611275, 2.136495, 0.000000, 
20, 0.655587, 2.215624, 0.000000, 
20, 0.701482, 2.294754, 0.000000, 
20, 0.748960, 2.373883, 0.000000, 
20, 0.798020, 2.453013, 0.000000, 
20, 0.848663, 2.532142, 0.000000, 
20, 0.900889, 2.611272, 0.000000, 
20, 0.954697, 2.690401, 0.000000, 
20, 1.010087, 2.769530, 0.000000, 
20, 1.067060, 2.848660, 0.000000, 
20, 1.125616, 2.927789, 0.000000, 
20, 1.185755, 3.006919, 0.000000, 
20, 1.247476, 3.086048, 0.000000, 
20, 1.310779, 3.165178, 0.000000, 
20, 1.375665, 3.244307, 0.000000, 
20, 1.442134, 3.323436, 0.000000, 
20, 1.510185, 3.402566, 0.000000, 
20, 1.579763, 3.478869, 0.000000, 
20, 1.650753, 3.549521, 0.000000, 
20, 1.723044, 3.614520, 0.000000, 
20, 1.796521, 3.673867, 0.000000, 
20, 1.871072, 3.727562, 0.000000, 
20, 1.946584, 3.775605, 0.000000, 
20, 2.022944, 3.817995, 0.000000, 
20, 2.100039, 3.854734, 0.000000, 
20, 2.177755, 3.885821, 0.000000, 
20, 2.255980, 3.911255, 0.000000, 
20, 2.334601, 3.931038, 0.000000, 
20, 2.413504, 3.945168, 0.000000, 
20, 2.492577, 3.953646, 0.000000, 
20, 2.571661, 3.954178, 0.000000, 
20, 2.650596, 3.946764, 0.000000, 
20, 2.729270, 3.933697, 0.000000, 
20, 2.807570, 3.914979, 0.000000, 
20, 2.885382, 3.890608, 0.000000, 
20, 2.962594, 3.860586, 0.000000, 
20, 3.039092, 3.824911, 0.000000, 
20, 3.114763, 3.783584, 0.000000, 
20, 3.189496, 3.736605, 0.000000, 
20, 3.263175, 3.683974, 0.000000, 
20, 3.335689, 3.625691, 0.000000, 
20, 3.406924, 3.561756, 0.000000, 
20, 3.476767, 3.492169, 0.000000, 
20, 3.545106, 3.416929, 0.000000, 
20, 3.611873, 3.338332, 0.000000, 
20, 3.677057, 3.259202, 0.000000, 
20, 3.740658, 3.180073, 0.000000, 
20, 3.802677, 3.100943, 0.000000, 
20, 3.863113, 3.021814, 0.000000, 
20, 3.921967, 2.942685, 0.000000, 
20, 3.979238, 2.863555, 0.000000, 
20, 4.034927, 2.784426, 0.000000, 
20, 4.089033, 2.705296, 0.000000, 
20, 4.141556, 2.626167, 0.000000, 
