Delta Time, Position, Velocity, Heading, 
20,0.000058,0.005841,0, 
20,0.000224,0.008289,0.000019, 
20,0.000691,0.023329,0.000072, 
20,0.00152,0.041472,0.000165, 
20,0.002816,0.064797,0.000311, 
20,0.004682,0.093302,0.000522, 
20,0.007222,0.126982,0.000809, 
20,0.010539,0.165833,0.001184, 
20,0.014735,0.209849,0.001659, 
20,0.019916,0.25902,0.002246, 
20,0.026183,0.313337,0.002959, 
20,0.033638,0.372785,0.003809, 
20,0.042385,0.43735,0.004809, 
20,0.052526,0.507013,0.005972, 
20,0.064161,0.581751,0.007313, 
20,0.077391,0.661538,0.008844, 
20,0.092318,0.746345,0.010582, 
20,0.109041,0.836136,0.012541, 
20,0.127658,0.930873,0.014736, 
20,0.148269,1.030509,0.017186, 
20,0.170917,1.132422,0.0199, 
20,0.195597,1.233996,0.022886, 
20,0.222301,1.335192,0.026149, 
20,0.25102,1.435973,0.029698, 
20,0.281746,1.536297,0.03354, 
20,0.314469,1.636121,0.037685, 
20,0.349177,1.735397,0.042141, 
20,0.385858,1.834079,0.046921, 
20,0.424501,1.932114,0.052034, 
20,0.465089,2.029448,0.057494, 
20,0.50761,2.126022,0.063314, 
20,0.552045,2.221776,0.069508, 
20,0.598378,2.316642,0.076093, 
20,0.646589,2.410552,0.083086, 
20,0.696658,2.50343,0.090504, 
20,0.748562,2.595197,0.098368, 
20,0.802277,2.685769,0.106698, 
20,0.857778,2.775058,0.115518, 
20,0.915038,2.862967,0.124852, 
20,0.974026,2.949397,0.134727, 
20,1.034711,3.034243,0.14517, 
20,1.097058,3.117394,0.156211, 
20,1.161033,3.198736,0.167884, 
20,1.226596,3.278149,0.180222, 
20,1.293706,3.355511,0.193261, 
20,1.36232,3.430699,0.20704, 
20,1.432392,3.503589,0.221601, 
20,1.503873,3.574061,0.236985, 
20,1.576713,3.642002,0.253239, 
20,1.650859,3.707307,0.270408, 
20,1.726212,3.767602,0.288531, 
20,1.802624,3.82063,0.307631, 
20,1.879955,3.866527,0.327734, 
20,1.958064,3.905478,0.348856, 
20,2.036819,3.937731,0.371016, 
20,2.116091,3.963601,0.39422, 
20,2.19576,3.983477,0.418473, 
20,2.275717,3.997822,0.44377, 
20,2.35586,4.007179,0.470093, 
20,2.436104,4.012169,0.497419, 
20,2.516373,4.01348,0.525707, 
20,2.596611,4.011857,0.554907, 
20,2.676772,4.008086,0.584953, 
20,2.756832,4.002968,0.615764, 
20,2.836777,3.997291,0.647248, 
20,2.916613,3.991796,0.679296, 
20,2.996356,3.987145,0.71179, 
20,3.076034,3.983884,0.744602, 
20,3.155682,3.982415,0.777596, 
20,3.235321,3.98192,0.810623, 
20,3.31497,3.982445,0.843534, 
20,3.394667,3.984892,0.876191, 
20,3.474446,3.988937,0.908461, 
20,3.554328,3.994098,0.940222, 
20,3.634323,3.999765,0.971359, 
20,3.714428,4.005228,1.001774, 
20,3.794622,4.00972,1.031379, 
20,3.874871,4.01244,1.060102, 
20,3.955123,4.012595,1.087884, 
20,4.035311,4.009415,1.114682, 
20,4.115355,4.002186,1.140464, 
20,4.19516,3.990253,1.165208, 
20,4.274621,3.973036,1.188906, 
20,4.353622,3.950035,1.211556, 
20,4.432038,3.920826,1.233165, 
20,4.509739,3.88506,1.253745, 
20,4.586588,3.842458,1.273314, 
20,4.662445,3.792806,1.291894, 
20,4.737163,3.735946,1.309509, 
20,4.810624,3.673003,1.326191, 
20,4.882749,3.606298,1.341981, 
20,4.95349,3.537011,1.356927, 
20,5.022795,3.465251,1.371071, 
20,5.090617,3.391136,1.384456, 
20,5.156913,3.314789,1.397121, 
20,5.22164,3.236332,1.409104, 
20,5.284758,3.155889,1.420441, 
20,5.346229,3.073581,1.431163, 
20,5.40602,2.989524,1.441303, 
20,5.464096,2.903831,1.45089, 
20,5.520429,2.81661,1.45995, 
20,5.574988,2.727964,1.46851, 
20,5.627748,2.637989,1.476592, 
20,5.678683,2.546777,1.484218, 
20,5.727771,2.454416,1.49141, 
20,5.774991,2.360986,1.498186, 
20,5.820322,2.266565,1.504563, 
20,5.863747,2.171224,1.510558, 
20,5.905248,2.075031,1.516187, 
20,5.944809,1.978051,1.521463, 
20,5.982415,1.880342,1.526398, 
20,6.018055,1.78196,1.531006, 
20,6.051714,1.68296,1.535297, 
20,6.083382,1.583391,1.539281, 
20,6.113048,1.483299,1.542968, 
20,6.140702,1.382731,1.546365, 
20,6.166337,1.281727,1.549481, 
20,6.189943,1.180328,1.552323, 
20,6.211515,1.078573,1.554897, 
20,6.231072,0.97786,1.557212, 
20,6.248688,0.88081,1.559282, 
20,6.264462,0.788685,1.561124, 
20,6.278492,0.701526,1.562752, 
20,6.29088,0.619371,1.564183, 
20,6.301725,0.542251,1.56543, 
20,6.311129,0.470194,1.566507, 
20,6.319193,0.403225,1.567427, 
20,6.326021,0.341363,1.568204, 
20,6.331713,0.284627,1.568851, 
20,6.336374,0.233029,1.569379, 
20,6.340105,0.186583,1.569801, 
20,6.343011,0.145297,1.570129, 
20,6.345195,0.109179,1.570376, 
20,6.346759,0.078234,1.570552, 
20,6.347809,0.052467,1.57067, 
20,6.348446,0.031881,1.570742, 
20,6.348776,0.016478,1.570779, 
20,6.348901,0.006258,1.570794, 
20,6.348926,0.001222,1.570796, 
20,6.348926,0,1.570796, 
