Delta Time, Position, Velocity, Heading, 
50, 0.000308, 0.012312, 0.785338, 
50, 0.001769, 0.029218, 0.785032, 
50, 0.005056, 0.065738, 0.784343, 
50, 0.010899, 0.116861, 0.783119, 
50, 0.020028, 0.182578, 0.781207, 
50, 0.033171, 0.262877, 0.778456, 
50, 0.051058, 0.357734, 0.774718, 
50, 0.074414, 0.467114, 0.769843, 
50, 0.103962, 0.590967, 0.763688, 
50, 0.140423, 0.729217, 0.756114, 
50, 0.184511, 0.881755, 0.746990, 
50, 0.236932, 1.048430, 0.736193, 
50, 0.298020, 1.221758, 0.723690, 
50, 0.367732, 1.394242, 0.709538, 
50, 0.446014, 1.565631, 0.693810, 
50, 0.532795, 1.735630, 0.676598, 
50, 0.627991, 1.903906, 0.658017, 
50, 0.731495, 2.070091, 0.638206, 
50, 0.843185, 2.233789, 0.617331, 
50, 0.962914, 2.394596, 0.595586, 
50, 1.090520, 2.552110, 0.573188, 
50, 1.225817, 2.705950, 0.550384, 
50, 1.368606, 2.855777, 0.527442, 
50, 1.518671, 3.001304, 0.504647, 
50, 1.675444, 3.135449, 0.482348, 
50, 1.838019, 3.251508, 0.460931, 
50, 2.005516, 3.349933, 0.440750, 
50, 2.177080, 3.431274, 0.422124, 
50, 2.351887, 3.496141, 0.405331, 
50, 2.529145, 3.545163, 0.390605, 
50, 2.708093, 3.578963, 0.378141, 
50, 2.887999, 3.598127, 0.368093, 
50, 3.068159, 3.603200, 0.360581, 
50, 3.247893, 3.594675, 0.355689, 
50, 3.426543, 3.573005, 0.353473, 
50, 3.603364, 3.536408, 0.353960, 
50, 3.777633, 3.485394, 0.357141, 
50, 3.948765, 3.422624, 0.362979, 
50, 4.116191, 3.348531, 0.371409, 
50, 4.279370, 3.263580, 0.382333, 
50, 4.437784, 3.168284, 0.395620, 
50, 4.590945, 3.063205, 0.411101, 
50, 4.738392, 2.948944, 0.428568, 
50, 4.879698, 2.826130, 0.447771, 
50, 5.014468, 2.695390, 0.468416, 
50, 5.142334, 2.557317, 0.490172, 
50, 5.262955, 2.412431, 0.512673, 
50, 5.376108, 2.263056, 0.535544, 
50, 5.481841, 2.114660, 0.558460, 
50, 5.580364, 1.970470, 0.581138, 
50, 5.671873, 1.830178, 0.603320, 
50, 5.756545, 1.693427, 0.624769, 
50, 5.834536, 1.559828, 0.645275, 
50, 5.905985, 1.428974, 0.664656, 
50, 5.971008, 1.300462, 0.682754, 
50, 6.029703, 1.173906, 0.699440, 
50, 6.082151, 1.048948, 0.714607, 
50, 6.128414, 0.925268, 0.728169, 
50, 6.168543, 0.802588, 0.740061, 
50, 6.202668, 0.682484, 0.750258, 
50, 6.231156, 0.569775, 0.758825, 
50, 6.254531, 0.467494, 0.765889, 
50, 6.273306, 0.375506, 0.771583, 
50, 6.287992, 0.293715, 0.776049, 
50, 6.299095, 0.222057, 0.779431, 
50, 6.307119, 0.160485, 0.781880, 
50, 6.312568, 0.108971, 0.783544, 
50, 6.315942, 0.067495, 0.784575, 
50, 6.317745, 0.036045, 0.785126, 
50, 6.318475, 0.014616, 0.785349, 
50, 6.318636, 0.003203, 0.785398, 
50, 6.318636, 0.000000, 0.785398, 
