Delta Time, Position, Velocity, Heading, 
50, 0.000300, 0.012012, 4.712389, 
50, 0.001501, 0.024024, 4.712389, 
50, 0.004204, 0.054054, 4.712389, 
50, 0.009009, 0.096096, 4.712389, 
50, 0.016516, 0.150150, 4.712389, 
50, 0.027327, 0.216216, 4.712389, 
50, 0.042042, 0.294293, 4.712389, 
50, 0.061261, 0.384383, 4.712389, 
50, 0.085585, 0.486485, 4.712389, 
50, 0.115615, 0.600599, 4.712389, 
50, 0.151951, 0.726724, 4.712389, 
50, 0.195195, 0.864862, 4.712389, 
50, 0.245645, 1.009006, 4.712389, 
50, 0.303302, 1.153150, 4.712389, 
50, 0.368167, 1.297293, 4.712389, 
50, 0.440239, 1.441437, 4.712389, 
50, 0.519518, 1.585581, 4.712389, 
50, 0.606004, 1.729724, 4.712389, 
50, 0.699698, 1.873868, 4.712389, 
50, 0.800598, 2.018012, 4.712389, 
50, 0.908406, 2.156149, 4.712389, 
50, 1.022519, 2.282275, 4.712389, 
50, 1.142339, 2.396389, 4.712389, 
50, 1.267263, 2.498491, 4.712389, 
50, 1.396692, 2.588581, 4.712389, 
50, 1.530025, 2.666658, 4.712389, 
50, 1.666661, 2.732724, 4.712389, 
50, 1.806000, 2.786778, 4.712389, 
50, 1.947441, 2.828820, 4.712389, 
50, 2.090384, 2.858850, 4.712389, 
50, 2.234227, 2.876868, 4.712389, 
50, 2.378136, 2.878184, 4.712389, 
50, 2.521276, 2.862799, 4.712389, 
50, 2.663046, 2.835401, 4.712389, 
50, 2.802846, 2.795992, 4.712389, 
50, 2.940075, 2.744571, 4.712389, 
50, 3.074131, 2.681137, 4.712389, 
50, 3.204416, 2.605692, 4.712389, 
50, 3.330328, 2.518235, 4.712389, 
50, 3.451266, 2.418765, 4.712389, 
50, 3.566630, 2.307284, 4.712389, 
50, 3.675820, 2.183791, 4.712389, 
50, 3.778234, 2.048286, 4.712389, 
50, 3.873507, 1.905458, 4.712389, 
50, 3.961573, 1.761315, 4.712389, 
50, 4.042431, 1.617171, 4.712389, 
50, 4.116083, 1.473027, 4.712389, 
50, 4.182527, 1.328884, 4.712389, 
50, 4.241764, 1.184740, 4.712389, 
50, 4.293794, 1.040596, 4.712389, 
50, 4.338616, 0.896453, 4.712389, 
50, 4.376466, 0.756999, 4.712389, 
50, 4.407878, 0.628240, 4.712389, 
50, 4.433453, 0.511494, 4.712389, 
50, 4.453791, 0.406760, 4.712389, 
50, 4.469493, 0.314037, 4.712389, 
50, 4.481159, 0.233327, 4.712389, 
50, 4.489391, 0.164629, 4.712389, 
50, 4.494788, 0.107942, 4.712389, 
50, 4.497951, 0.063268, 4.712389, 
50, 4.499481, 0.030605, 4.712389, 
50, 4.499979, 0.009955, 4.712389, 
50, 4.500045, 0.001316, 4.712389, 
50, 4.500045, 0.000000, 4.712389, 
